tasa_ataque,semilla,recall_limpio,recall_envenenado,recall_recuperado,caida_recall_pts,recall_recuperado_pct,veneno_total,veneno_detectado,pct_veneno_detectado,precision_defensa,falsas_alarmas,sospechosos_final
0.05,1,0.6864864864864865,0.6270270270270271,0.6810810810810811,5.94594594594594,0.90909090909091,100,82,0.82,0.37272727272727274,138,220
0.05,2,0.6702702702702703,0.5945945945945946,0.7027027027027027,7.567567567567568,1.4285714285714286,100,85,0.85,0.37610619469026546,141,226
0.05,3,0.6864864864864865,0.6486486486486487,0.6918918918918919,3.7837837837837784,1.1428571428571446,100,77,0.77,0.3598130841121495,137,214
0.05,4,0.6810810810810811,0.5567567567567567,0.6486486486486487,12.432432432432439,0.7391304347826088,100,73,0.73,0.3492822966507177,136,209
0.05,5,0.6810810810810811,0.6162162162162163,0.7027027027027027,6.486486486486487,1.3333333333333333,100,84,0.84,0.375,140,224
0.15,1,0.6864864864864865,0.4540540540540541,0.6432432432432432,23.24324324324324,0.813953488372093,300,250,0.8333333333333334,0.6443298969072165,138,388
0.15,2,0.6702702702702703,0.41081081081081083,0.6270270270270271,25.945945945945947,0.8333333333333334,300,246,0.82,0.6356589147286822,141,387
0.15,3,0.6864864864864865,0.41621621621621624,0.6108108108108108,27.027027027027025,0.72,300,238,0.7933333333333333,0.6346666666666667,137,375
0.15,4,0.6810810810810811,0.40540540540540543,0.5891891891891892,27.56756756756757,0.6666666666666665,300,243,0.81,0.6411609498680739,136,379
0.15,5,0.6810810810810811,0.41081081081081083,0.6270270270270271,27.027027027027028,0.8,300,248,0.8266666666666667,0.6391752577319587,140,388
0.25,1,0.6864864864864865,0.16216216216216217,0.5675675675675675,52.43243243243243,0.7731958762886598,500,404,0.808,0.7453874538745388,138,542
0.25,2,0.6702702702702703,0.15675675675675677,0.572972972972973,51.35135135135136,0.8105263157894737,500,410,0.82,0.7441016333938294,141,551
0.25,3,0.6864864864864865,0.07027027027027027,0.5297297297297298,61.621621621621614,0.7456140350877194,500,395,0.79,0.7424812030075187,137,532
0.25,4,0.6810810810810811,0.14594594594594595,0.5243243243243243,53.51351351351352,0.7070707070707068,500,402,0.804,0.7472118959107806,136,538
0.25,5,0.6810810810810811,0.13513513513513514,0.5351351351351351,54.59459459459459,0.7326732673267327,500,406,0.812,0.7435897435897436,140,546
0.35,1,0.6864864864864865,0.010810810810810811,0.4486486486486487,67.56756756756756,0.648,700,566,0.8085714285714286,0.8039772727272727,138,704
0.35,2,0.6702702702702703,0.005405405405405406,0.44324324324324327,66.4864864864865,0.6585365853658536,700,557,0.7957142857142857,0.7979942693409742,141,698
0.35,3,0.6864864864864865,0.016216216216216217,0.4486486486486487,67.02702702702703,0.6451612903225806,700,567,0.81,0.8053977272727273,137,704
0.35,4,0.6810810810810811,0.02702702702702703,0.42162162162162165,65.4054054054054,0.603305785123967,700,560,0.8,0.8045977011494253,136,696
0.35,5,0.6810810810810811,0.010810810810810811,0.4648648648648649,67.02702702702703,0.6774193548387096,700,568,0.8114285714285714,0.8022598870056498,140,708
